unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,SE11	97.65 	95.98 	96.60 	95.04 	95.25 	97.05 	97.38 b	91.22 	91.95 	94.02 	94.83 	94.34 	90.80 	89.54 	: 	: 	: 
PC_HH,SE12	92.23 	95.14 	94.59 	95.20 	93.57 	94.33 	93.04 b	90.63 	90.96 	91.80 	90.37 	90.08 	88.11 	85.29 	: 	: 	: 
PC_HH,SE2	94.99 	91.79 	94.34 	96.91 	93.87 	94.19 	93.70 b	90.77 	90.66 	92.00 	91.88 	90.41 	88.14 	85.37 	86.09 	: 	: 
PC_HH,SE21	95.67 	91.63 	94.75 	98.30 	92.84 	91.29 	86.70 b	88.40 	90.90 	90.52 	89.61 	88.94 	83.62 	83.51 	: 	: 	: 
PC_HH,SE22	95.21 	92.56 	94.68 	95.28 	94.84 	94.34 	96.78 b	92.13 	87.68 	93.27 	93.08 	91.80 	88.95 	85.47 	: 	: 	: 
PC_HH,SE23	94.55 	91.31 	93.95 	97.41 	93.67 	95.72 	94.25 b	90.87 	92.58 	91.80 	91.85 	90.09 	89.45 	86.13 	: 	: 	: 
PC_HH,SE3	90.56 	91.12 	88.57 	96.41 	90.10 	93.81 	90.41 b	91.86 	83.50 	92.92 	88.26 	87.41 	85.82 	83.95 	78.86 	: 	: 
PC_HH,SE31	95.55 	92.64 	85.56 	94.11 	91.19 	88.32 	89.08 b	88.90 	80.40 	93.18 	85.55 	86.30 	85.73 	85.11 	: 	: 	: 
PC_HH,SE32	81.49 	93.87 	94.39 	100.00 u	87.43 u	100.00 u	87.63 b	92.28 	86.45 	95.79 u	88.99 	86.64 	85.91 	82.47 	: 	: 	: 
PC_HH,SE33	89.40 	86.86 	89.71 	97.20 	90.47 	96.94 	94.45 b	97.07 	86.77 	90.68 	91.66 	90.26 	85.89 	83.13 	: 	: 	: 
PC_HH,SI	92.60 	93.04 	89.97 	88.96 	86.68 	81.74 	78.42 	77.64 	76.80 	75.62 	73.94 	72.60 	68.13 	63.94 	58.89 	57.61 	54.36 
PC_HH,SI0	92.60 	93.04 	89.97 	88.96 	86.68 	81.74 	78.42 	77.64 	76.80 	75.62 	73.94 	72.60 	68.13 	63.94 	58.89 	: 	: 
PC_HH,SI01	: 	: 	: 	: 	: 	: 	: 	: 	74.75 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,SI02	: 	: 	: 	: 	: 	: 	: 	: 	78.96 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,SI03	90.45 	91.08 	89.44 	86.65 	84.13 	79.67 	77.08 	73.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,SI04	95.03 	95.28 	90.61 	91.71 	89.88 	84.28 	80.06 	82.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,SK	90.65 	89.96 	85.78 	82.19 	80.84 	81.33 	80.52 	79.48 	78.35 	77.91 	75.44 	70.78 	67.48 	62.23 	58.34 	46.11 	26.58 
PC_HH,SK0	90.65 	89.96 	85.78 	82.19 	80.84 	81.33 	80.52 	79.48 	78.35 	77.91 	75.44 	70.78 	67.48 	62.23 	: 	: 	: 
PC_HH,SK01	95.74 	96.14 	90.13 	83.72 	88.94 	84.97 	85.25 	80.70 	79.90 	83.40 	83.97 	74.21 	74.67 	66.48 	62.46 	: 	33.54 
PC_HH,SK02	89.48 	89.46 	85.03 	82.49 	81.43 	78.52 	78.96 	79.24 	77.67 	76.94 	75.19 	72.76 	66.90 	66.85 	58.84 	: 	24.59 
PC_HH,SK03	89.15 	90.51 	85.94 	80.56 	78.26 	81.23 	79.11 	79.38 	77.67 	76.73 	70.85 	71.17 	64.70 	59.40 	55.70 	: 	24.07 
PC_HH,SK04	91.05 	87.04 	84.46 	82.56 	78.47 	83.25 	81.48 	79.27 	79.11 	77.78 	76.18 	66.13 	67.43 	56.71 	58.17 	: 	28.25 
PC_HH,TR	94.15 	91.98 	90.73 	88.30 	83.79 	80.74 	76.34 	69.54 	60.24 	49.08 	47.20 	: 	41.63 	30.03 	25.41 	19.71 	: 
PC_HH,TR1	98.67 	97.07 	96.36 	95.59 	90.05 	90.77 	89.11 	81.27 	75.49 	63.33 	60.51 	: 	: 	: 	: 	: 	: 
PC_HH,TR2	90.53 	86.29 	85.95 	79.66 	75.38 	70.83 	69.92 	67.39 	63.65 	58.77 	49.71 	: 	: 	: 	: 	: 	: 
PC_HH,TR3	94.37 	89.88 	90.69 	85.63 	80.92 	78.29 	69.42 	64.53 	57.45 	46.66 	45.53 	: 	: 	: 	: 	: 	: 
PC_HH,TR4	94.05 	93.73 	92.48 	88.87 	83.97 	79.69 	76.50 	71.73 	62.33 	56.79 	60.62 	: 	: 	: 	: 	: 	: 
PC_HH,TR5	98.34 	94.23 	92.82 	91.82 	84.13 	84.44 	79.69 	73.69 	58.73 	52.44 	57.50 	: 	: 	: 	: 	: 	: 
PC_HH,TR6	92.11 	91.26 	90.66 	89.35 	86.91 	81.85 	77.86 	70.37 	57.79 	44.37 	39.57 	: 	: 	: 	: 	: 	: 
PC_HH,TR7	91.56 	89.56 	87.49 	88.70 	82.77 	76.97 	72.15 	63.52 	55.33 	46.82 	41.02 	: 	: 	: 	: 	: 	: 
PC_HH,TR8	89.12 	84.54 	81.33 	80.24 	78.37 	77.21 	69.10 	55.50 	44.37 	39.93 	39.45 	: 	: 	: 	: 	: 	: 
PC_HH,TR9	90.93 	88.29 	86.86 	83.80 	80.65 	76.91 	69.40 	60.70 	62.74 	34.85 	32.55 	: 	: 	: 	: 	: 	: 
PC_HH,TRA	88.21 	86.61 	87.19 	87.63 	77.64 	72.62 	72.30 	51.62 	48.35 	44.70 	41.54 	: 	: 	: 	: 	: 	: 
PC_HH,TRB	90.45 	90.37 	89.78 	89.10 	83.39 	76.81 	71.48 	65.57 	43.55 	37.66 	35.57 	: 	: 	: 	: 	: 	: 
PC_HH,TRC	93.93 	93.85 	87.47 	81.10 	80.70 	71.51 	69.50 	66.09 	53.05 	27.47 	21.51 	: 	: 	: 	: 	: 	: 
PC_HH,UK	: 	: 	97.30 	95.85 	94.85 	93.99 	93.48 	91.25 	90.34 	88.45 	86.80 	82.70 	79.61 	76.69 	71.14 	66.72 	62.64 
PC_HH,UKC	: 	: 	95.92 	91.39 	93.37 	86.49 	93.65 	85.88 	87.59 	78.77 	73.52 	78.45 	66.24 	70.65 	62.85 	59.13 	57.62 
PC_HH,UKD	: 	: 	97.74 	94.65 	92.70 	93.57 	93.36 	88.03 	88.18 	85.89 	84.92 	81.75 	74.91 	74.12 	61.84 	61.52 	59.92 
PC_HH,UKE	: 	: 	95.43 	94.69 	94.71 	93.23 	92.85 	89.88 	89.74 	85.78 	86.59 	78.64 	74.71 	71.69 	68.03 	58.10 	56.66 
PC_HH,UKF	: 	: 	94.89 	92.87 	95.33 	91.88 	89.82 	91.28 	91.03 	89.29 	87.64 	85.88 	82.24 	74.56 	69.48 	66.00 	59.13 
PC_HH,UKG	: 	: 	97.12 	97.79 	97.34 	94.99 	91.19 	88.90 	91.53 	83.42 	82.82 	76.34 	78.29 	75.88 	66.47 	61.66 	58.45 
PC_HH,UKH	: 	: 	96.12 	97.13 	95.10 	93.87 	93.22 	94.41 	89.96 	91.39 	89.46 	83.26 	86.62 	81.91 	77.55 	73.53 	70.98 
PC_HH,UKI	: 	: 	99.00 	97.78 	95.41 	96.03 	95.56 	93.52 	93.41 	93.54 	91.72 	85.92 	87.49 	84.22 	76.59 	73.34 	68.43 
PC_HH,UKJ	: 	: 	98.94 	98.59 	96.34 	96.86 	95.82 	94.95 	92.49 	90.95 	89.49 	86.68 	85.86 	81.09 	79.71 	70.55 	71.98 
PC_HH,UKK	: 	: 	97.11 	96.02 	93.92 	94.54 	93.98 	93.19 	92.08 	92.86 	93.06 	86.26 	78.27 	76.93 	73.08 	74.11 	67.72 
PC_HH,UKL	: 	: 	97.07 	92.85 	95.96 	91.50 	91.42 	87.77 	86.81 	83.35 	79.29 	77.87 	84.28 	73.65 	70.87 	63.92 	56.55 
PC_HH,UKM	: 	: 	98.28 	94.36 	92.26 	94.20 	94.50 	89.75 	86.94 	86.93 	83.60 	83.36 	69.41 	69.78 	69.92 	66.09 	52.21 
PC_HH,UKN	: 	: 	: 	93.96 	94.22 	90.71 	91.53 	89.86 	88.16 	90.18 	: 	: 	78.20 	: u	60.41 	56.12 	54.21 
PC_HH,XK	: 	: 	96.44 	93.19 	93.20 	88.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
