unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,CZ03	92.32 	92.22 	87.68 	86.42 	86.17 	82.50 	81.97 	80.92 	76.84 	71.05 	72.37 	65.82 	57.85 	: 	42.25 	32.10 	: 
PC_HH,CZ04	87.57 	86.03 	82.28 	79.30 	81.66 	78.40 	75.50 	71.18 	69.33 	66.71 	66.01 	63.26 	58.53 	: 	39.06 	28.94 	: 
PC_HH,CZ05	90.27 	87.32 	86.88 	86.36 	83.68 	80.01 	79.82 	81.60 	74.95 	72.79 	71.81 	69.48 	57.75 	: 	44.29 	33.39 	: 
PC_HH,CZ06	89.84 	88.11 	90.08 	87.93 	86.83 	84.64 	81.15 	76.23 	78.92 	73.23 	73.76 	67.89 	62.88 	: 	44.47 	37.55 	: 
PC_HH,CZ07	87.91 	87.94 	88.11 	84.02 	83.38 	81.56 	77.17 	74.50 	77.57 	68.31 	67.78 	60.24 	60.98 	: 	40.40 	28.12 	: 
PC_HH,CZ08	94.82 	88.80 	85.67 	89.54 	88.43 	81.44 	80.36 	75.41 	75.88 	68.18 	71.70 	65.65 	53.74 	: 	45.10 	32.91 	: 
PC_HH,DE	91.41 	91.88 b	95.80 	94.83 	94.39 	92.86 	92.14 	90.29 	89.47 	87.75 	85.50 	83.25 	82.49 	79.07 	74.88 	70.67 	67.11 
PC_HH,DE1	91.26 	91.55 b	95.62 	94.88 	93.65 	92.69 	91.42 	90.56 	88.16 	87.28 	84.45 	81.49 	82.45 	78.37 	74.54 	70.42 	69.13 
PC_HH,DE2	90.66 	91.03 b	95.85 	95.16 	93.52 	92.33 	91.82 	90.68 	89.48 	87.91 	86.63 	85.02 	82.08 	79.94 	77.18 	72.89 	69.39 
PC_HH,DE3	92.75 	94.67 b	96.99 	95.59 	95.20 	95.48 	93.33 	91.65 	91.90 	89.26 	85.48 	83.61 	84.05 	78.33 	76.69 	75.28 	69.52 
PC_HH,DE4	87.67 	89.56 b	92.02 	89.52 	89.35 	84.83 	86.54 	83.22 	81.58 	76.39 	76.91 	70.98 	74.47 	61.89 	64.60 	: u	: u
PC_HH,DE5	86.31 	79.75 b	97.79 	97.96 	94.10 	95.05 	93.59 	95.41 	90.81 	91.30 	84.75 	88.12 	: u	: u	: u	: u	: u
PC_HH,DE6	92.15 	92.96 b	96.45 	96.04 	96.63 	96.42 	94.98 	90.59 	93.43 	89.73 	84.57 	85.53 	81.77 	81.39 	75.28 	76.80 	72.82 
PC_HH,DE7	93.34 	95.19 b	96.81 	95.23 	94.61 	93.88 	93.29 	92.49 	90.74 	87.86 	87.44 	86.16 	85.13 	82.49 	77.18 	72.81 	71.63 
PC_HH,DE8	89.70 	87.26 b	94.92 	92.35 	89.80 	87.67 	90.67 	86.68 	83.16 	78.15 	75.40 	72.96 	67.31 	68.08 	66.06 	: u	: u
PC_HH,DE9	90.96 	91.04 b	97.33 	95.72 	95.69 	96.19 	93.83 	92.01 	91.41 	91.75 	89.78 	86.12 	86.63 	80.38 	76.35 	71.08 	66.40 
PC_HH,DEA	92.11 	93.39 b	95.07 	94.87 	95.91 	93.69 	92.44 	90.63 	90.52 	89.25 	87.79 	85.94 	84.77 	83.74 	78.48 	70.11 	67.91 
PC_HH,DEB	93.79 	93.12 b	96.42 	94.97 	94.72 	94.14 	92.69 	91.32 	90.44 	88.41 	85.78 	83.92 	80.89 	80.54 	77.95 	73.15 	65.62 
PC_HH,DEC	91.71 	91.93 b	96.53 	95.68 	94.52 	89.36 	90.34 	92.42 	90.33 	84.68 	78.32 	76.40 	79.20 	77.44 	74.87 	77.17 	67.46 
PC_HH,DED	90.87 	91.92 b	94.23 	92.41 	92.15 	87.61 	91.69 	83.23 	85.83 	82.09 	78.40 	75.74 	77.18 	64.52 	64.24 	: u	: u
PC_HH,DEE	89.03 	84.19 b	97.69 	95.27 	91.79 	91.33 	89.13 	87.60 	86.35 	85.07 	81.29 	78.52 	75.76 	76.09 	65.91 	: u	: u
PC_HH,DEF	93.96 	94.07 b	96.01 	96.05 	96.26 	91.46 	93.06 	91.72 	91.50 	90.07 	84.80 	84.43 	85.64 	84.42 	72.53 	73.57 	71.06 
PC_HH,DEG	86.55 	88.52 b	94.90 	94.16 	95.75 	92.76 	90.79 	90.51 	88.05 	89.15 	87.72 	82.32 	83.61 	79.06 	70.91 	: u	: u
PC_HH,DK	95.16 	96.14 	95.27 	95.43 	92.66 	97.00 	94.34 	91.74 	93.12 	92.71 	92.00 	90.08 	86.10 	82.53 	81.88 	78.05 	78.73 
PC_HH,DK0	95.16 	96.14 	95.27 	95.43 	92.66 	97.00 	94.34 	91.74 	93.12 	92.71 	92.00 	90.08 	86.10 	82.53 	81.88 	: 	: 
PC_HH,DK01	95.95 	97.07 	95.67 	95.33 	92.69 	98.08 	95.08 	91.19 	95.11 	94.10 	94.34 	92.62 	89.10 	85.68 	85.52 	: 	: 
PC_HH,DK02	95.49 	94.64 	94.48 	94.74 	91.13 	96.09 	94.62 	93.21 	92.69 	89.40 	90.20 	89.12 	82.42 	78.54 	79.77 	: 	: 
PC_HH,DK03	94.54 	95.57 	95.63 	95.32 	91.79 	97.34 	91.73 	93.53 	90.29 	91.33 	88.92 	85.96 	86.06 	79.28 	80.16 	: 	: 
PC_HH,DK04	94.43 	97.12 	95.83 	96.24 	93.90 	96.35 	95.15 	90.89 	94.23 	93.79 	94.39 	91.15 	85.81 	83.47 	82.88 	: 	: 
PC_HH,DK05	95.11 	93.93 	93.18 	95.17 	93.95 	95.40 	95.15 	89.73 	90.76 	93.44 	89.54 	89.90 	82.12 	82.75 	75.22 	: 	: 
PC_HH,EE	92.41 	91.82 	89.98 	90.43 	90.47 	88.27 	86.19 	87.73 	82.90 b	79.31 	73.82 	69.39 	66.89 	61.85 	57.35 	52.20 	45.18 
PC_HH,EE0	92.41 	91.82 	89.98 	90.43 	90.47 	88.27 	86.19 	87.73 	82.90 b	79.31 	73.82 	69.39 	66.89 	61.85 	57.35 	: 	: 
PC_HH,EE00	92.41 	91.82 	89.98 	90.43 	90.47 	88.27 	86.19 	87.73 	82.90 b	79.31 	73.82 	69.39 	66.89 	61.85 	57.35 	: 	: 
PC_HH,EL	85.49 	85.07 	80.38 	78.54 	76.49 	70.96 	69.13 	68.09 	65.55 	56.31 	53.58 	50.17 	46.35 	38.06 	30.96 	25.40 	23.12 
PC_HH,EL1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.23 	36.58 	31.78 	23.02 	21.61 	19.71 
PC_HH,EL2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.38 	37.92 	25.25 	19.20 	16.76 	14.77 
PC_HH,EL3	91.35 	90.92 	83.61 	83.54 	85.26 	80.51 	78.31 	74.89 	71.05 	68.94 	64.52 	58.49 	57.18 	50.86 	45.01 	33.18 	30.34 
PC_HH,EL4	82.02 	82.50 	78.51 	68.76 	69.24 	69.03 	69.56 	64.62 	67.78 	47.62 	46.66 	46.78 	43.07 	30.99 	22.28 	22.64 	21.14 
PC_HH,EL5	82.96 	81.18 	82.41 	78.92 	73.43 	65.67 	66.89 	66.80 	62.07 	51.36 	50.12 	: 	: 	: 	: 	: 	: 
PC_HH,EL6	81.17 	82.06 	74.15 	75.25 	70.38 	63.69 	57.16 	60.49 	60.09 	43.60 	41.21 	: 	: 	: 	: 	: 	: 
PC_HH,ES	96.08 	95.92 	95.38 	91.44 	86.36 	83.39 	81.93 	78.75 	74.35 	69.73 	66.59 	62.71 	57.82 	52.93 	49.86 	43.48 	38.04 
PC_HH,ES1	93.76 	93.78 	92.84 	89.63 	83.44 	80.06 	79.08 	76.96 	71.04 	67.53 	63.77 	56.40 	51.64 	46.16 	43.51 	35.90 	: 
