nuts3_code,Year,Canton,Population on 1 January,Population on 31 December,POP
CH057,2014,Thurgau,"260,278.00","263,733.00",262.01
CH070,2014,Ticino,"346,539.00","350,363.00",348.45
CH011,2014,Vaud,"749,373.00","761,446.00",755.41
CH012,2014,Valais / Wallis,"327,011.00","331,763.00",329.39
CH024,2014,Neuchâtel,"176,402.00","177,327.00",176.86
CH013,2014,Genève,"469,433.00","477,385.00",473.41
CH025,2014,Jura,"71,738.00","72,410.00",72.07
CH040,2015,Zürich,"1,446,354.00","1,466,424.00","1,456.39"
CH021,2015,Bern / Berne,"1,009,370.00","1,017,434.00","1,013.40"
CH061,2015,Luzern,"394,604.00","398,762.00",396.68
CH062,2015,Uri,"36,008.00","35,973.00",35.99
CH063,2015,Schwyz,"152,759.00","154,093.00",153.43
CH064,2015,Obwalden,"36,834.00","37,076.00",36.96
CH065,2015,Nidwalden,"42,080.00","42,420.00",42.25
CH051,2015,Glarus,"39,794.00","40,028.00",39.91
CH066,2015,Zug,"120,089.00","122,134.00",121.11
CH022,2015,Fribourg / Freiburg,"303,425.00","307,510.00",305.47
CH023,2015,Solothurn,"263,719.00","266,418.00",265.07
CH031,2015,Basel-Stadt,"190,580.00","191,817.00",191.2
CH032,2015,Basel-Landschaft,"281,301.00","283,231.00",282.27
CH052,2015,Schaffhausen,"79,417.00","79,836.00",79.63
CH053,2015,Appenzell Ausserrhoden,"54,064.00","54,543.00",54.3
CH054,2015,Appenzell Innerrhoden,"15,854.00","15,974.00",15.91
CH055,2015,St. Gallen,"495,824.00","499,065.00",497.44
CH056,2015,Graubünden / Grigioni / Grischun,"195,886.00","196,610.00",196.25
CH033,2015,Aargau,"645,277.00","653,675.00",649.48
CH057,2015,Thurgau,"263,733.00","267,429.00",265.58
CH070,2015,Ticino,"350,363.00","351,946.00",351.15
CH011,2015,Vaud,"761,446.00","773,407.00",767.43
CH012,2015,Valais / Wallis,"331,763.00","335,696.00",333.73
CH024,2015,Neuchâtel,"177,327.00","178,107.00",177.72
CH013,2015,Genève,"477,385.00","484,736.00",481.06
CH025,2015,Jura,"72,410.00","72,782.00",72.6
CH040,2016,Zürich,"1,466,424.00","1,487,969.00","1,477.20"
CH021,2016,Bern / Berne,"1,017,434.00","1,026,464.00","1,021.95"
CH061,2016,Luzern,"398,762.00","403,397.00",401.08
CH062,2016,Uri,"35,973.00","36,145.00",36.06
CH063,2016,Schwyz,"154,093.00","155,863.00",154.98
CH064,2016,Obwalden,"37,076.00","37,378.00",37.23
CH065,2016,Nidwalden,"42,420.00","42,556.00",42.49
CH051,2016,Glarus,"40,028.00","40,147.00",40.09
CH066,2016,Zug,"122,134.00","123,948.00",123.04
CH022,2016,Fribourg / Freiburg,"307,510.00","311,963.00",309.74
CH023,2016,Solothurn,"266,418.00","269,441.00",267.93
CH031,2016,Basel-Stadt,"191,817.00","193,070.00",192.44
CH032,2016,Basel-Landschaft,"283,231.00","285,624.00",284.43
CH052,2016,Schaffhausen,"79,836.00","80,769.00",80.3
CH053,2016,Appenzell Ausserrhoden,"54,543.00","54,954.00",54.75
CH054,2016,Appenzell Innerrhoden,"15,974.00","16,003.00",15.99
CH055,2016,St. Gallen,"499,065.00","502,552.00",500.81
CH056,2016,Graubünden / Grigioni / Grischun,"196,610.00","197,550.00",197.08
CH033,2016,Aargau,"653,675.00","663,462.00",658.57
CH057,2016,Thurgau,"267,429.00","270,709.00",269.07
CH070,2016,Ticino,"351,946.00","354,375.00",353.16
CH011,2016,Vaud,"773,407.00","784,822.00",779.11
CH012,2016,Valais / Wallis,"335,696.00","339,176.00",337.44
CH024,2016,Neuchâtel,"178,107.00","178,567.00",178.34
CH013,2016,Genève,"484,736.00","489,524.00",487.13
CH025,2016,Jura,"72,782.00","73,122.00",72.95
CH040,2017,Zürich,"1,487,969.00","1,504,346.00","1,496.16"
CH021,2017,Bern / Berne,"1,026,464.00","1,031,080.00","1,028.77"
CH061,2017,Luzern,"403,397.00","406,506.00",404.95
CH062,2017,Uri,"36,145.00","36,299.00",36.22
CH063,2017,Schwyz,"155,863.00","157,301.00",156.58
CH064,2017,Obwalden,"37,378.00","37,575.00",37.48
CH065,2017,Nidwalden,"42,556.00","42,969.00",42.76
CH051,2017,Glarus,"40,147.00","40,349.00",40.25
CH066,2017,Zug,"123,948.00","125,421.00",124.68
CH022,2017,Fribourg / Freiburg,"311,963.00","315,120.00",313.54
CH023,2017,Solothurn,"269,441.00","271,432.00",270.44
CH031,2017,Basel-Stadt,"193,070.00","193,908.00",193.49
CH032,2017,Basel-Landschaft,"285,624.00","287,023.00",286.32
CH052,2017,Schaffhausen,"80,769.00","81,351.00",81.06
CH053,2017,Appenzell Ausserrhoden,"54,954.00","55,178.00",55.07
CH054,2017,Appenzell Innerrhoden,"16,003.00","16,105.00",16.05
CH055,2017,St. Gallen,"502,552.00","504,686.00",503.62
CH056,2017,Graubünden / Grigioni / Grischun,"197,550.00","197,888.00",197.72
CH033,2017,Aargau,"663,462.00","670,988.00",667.23
CH057,2017,Thurgau,"270,709.00","273,801.00",272.26
CH070,2017,Ticino,"354,375.00","353,709.00",354.04
CH011,2017,Vaud,"784,822.00","793,129.00",788.98
CH012,2017,Valais / Wallis,"339,176.00","341,463.00",340.32
CH024,2017,Neuchâtel,"178,567.00","177,964.00",178.27
CH013,2017,Genève,"489,524.00","495,249.00",492.39
CH025,2017,Jura,"73,122.00","73,290.00",73.21
CH040,2018,Zürich,"1,504,346.00","1,520,968.00","1,512.66"
CH021,2018,Bern / Berne,"1,031,080.00","1,034,931.00","1,033.01"
CH061,2018,Luzern,"406,506.00","409,557.00",408.03
